times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)
304.0|0.0|0.2|0.2|51.38397863618319|0.0|-76.9480564621367|-102.57896454932558
306.0|0.0|0.2|0.2|55.12935242423645|0.0|-82.2941092337552|-109.6704935151942
308.0|0.0|0.2|0.2|51.74161070802796|0.0|-77.34566240562087|-103.09156460867464
310.0|0.0|0.2|0.2|57.83010485762772|0.0|-85.30760925487333|-113.6221552439821
312.0|0.0|0.2|0.2|55.678631786804615|0.0|-83.51625058063634|-111.35577924473073
314.0|0.0|0.2|0.2|55.06486264061847|0.0|-82.59397237400535|-110.12589878608416
316.0|0.0|0.2|0.2|51.65087076242064|0.0|-77.47137780025388|-103.29550869448128
318.0|0.0|0.2|0.2|58.2226296343428|0.0|-86.37707918680458|-115.06659130455056
320.0|0.0|0.2|0.2|56.61481607796194|0.0|-84.10782909455261|-112.05526796138668
322.0|0.0|0.2|0.2|56.80197660893102|0.0|-84.83846845373837|-113.07077012702013
324.0|0.0|0.2|0.2|56.74930741932479|0.0|-84.57930193001759|-112.70642733509008
326.0|0.0|0.2|0.2|52.82838767824804|0.0|-78.95109326797822|-105.2292514895654
328.0|0.0|0.2|0.2|55.593390106066224|0.0|-83.30554511505402|-111.06191927758452
330.0|0.0|0.2|0.2|55.11889457584622|0.0|-81.86512636779584|-109.06670770497747
332.0|0.0|0.2|0.2|53.699773161686586|0.0|-80.52767681498149|-107.36741119422317
334.0|0.0|0.2|0.2|57.16586008635203|0.0|-85.63926641570465|-114.1692646832204
336.0|0.0|0.2|0.2|55.31295833371801|0.0|-82.96337269152075|-110.61781956053626
338.0|0.0|0.2|0.2|56.66522077948796|0.0|-84.77388410536699|-113.00327284655576
340.0|0.0|0.2|0.2|54.417489234309365|0.0|-81.41969092362352|-108.53002740696898
342.0|0.0|0.2|0.2|55.81359764058209|0.0|-83.48777645831603|-111.285228873694
314.0|0.0|0.2|0.2|55.37920938584419|0.0|-82.39570723929322|-109.7869871578432
316.0|0.0|0.2|0.2|54.50004595154476|0.0|-81.70188565313987|-108.92931862942726
318.0|0.0|0.2|0.2|53.446981315446685|0.0|-80.1657673767592|-106.88757951013434
320.0|0.0|0.2|0.2|53.05683585544446|0.0|-79.36871485443794|-105.79714997636272
322.0|0.0|0.2|0.2|54.35901275573034|0.0|-81.543791962849|-108.72689602293164
324.0|0.0|0.2|0.2|51.49095670064992|0.0|-77.21385096178737|-102.9493628627038
