times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
328.0|0.0|1.0|1.0|182.020543233914|145.44564963164504|0.0
330.0|0.0|1.0|1.0|192.5918710135001|153.53459525431344|0.0
332.0|0.0|1.0|1.0|189.86269342881903|151.41976771358148|0.0
334.0|0.0|1.0|1.0|182.40217955488416|145.6654974823697|0.0
336.0|0.0|1.0|1.0|195.28811304595024|155.81286445979387|0.0
338.0|0.0|1.0|1.0|187.45304676417044|149.4096182874573|0.0
340.0|0.0|1.0|1.0|198.8374253957431|158.70302840298572|0.0
342.0|0.0|1.0|1.0|197.7612937147601|158.13083566325153|0.0
344.0|0.0|1.0|1.0|196.1489680687782|156.46746024904456|0.0
346.0|0.0|1.0|1.0|190.12980845768817|152.02410064843625|0.0
348.0|0.0|1.0|1.0|177.99657662020553|142.3493497267806|0.0
350.0|0.0|1.0|1.0|181.8743866549152|145.27908733007135|0.0
352.0|0.0|1.0|1.0|198.7885185323474|158.67401559931164|0.0
354.0|0.0|1.0|1.0|194.46678440084145|155.32496606461956|0.0
356.0|0.0|1.0|1.0|199.5499235204373|159.3474854998881|0.0
358.0|0.0|1.0|1.0|195.22987466790545|155.74117086845055|0.0
360.0|0.0|1.0|1.0|191.12650405824868|152.76748260796862|0.0
362.0|0.0|1.0|1.0|202.5719394352088|161.73460380100556|0.0
364.0|0.0|1.0|1.0|198.23117752466123|158.07382493833174|0.0
366.0|0.0|1.0|1.0|197.08917136190263|157.54991425917038|0.0
330.0|0.0|1.0|1.0|191.3889195566668|152.6138723001214|0.0
332.0|0.0|1.0|1.0|190.4812279630522|152.1898304424579|0.0
334.0|0.0|1.0|1.0|197.0807753628402|157.51495063073656|0.0
336.0|0.0|1.0|1.0|188.7716644220682|150.5425242814828|0.0
338.0|0.0|1.0|1.0|185.30138962980809|147.68937230679765|0.0
340.0|0.0|1.0|1.0|195.9336458169064|156.52244458642144|0.0
342.0|0.0|1.0|1.0|194.63293467027967|155.4209560426266|0.0
344.0|0.0|1.0|1.0|187.36465742811245|149.6487438383589|0.0
346.0|0.0|1.0|1.0|187.11049608162665|149.25198391167552|0.0
348.0|0.0|1.0|1.0|192.6425239474984|153.85946063955484|0.0
350.0|0.0|1.0|1.0|196.9278286969144|157.20218109047974|0.0
352.0|0.0|1.0|1.0|190.84172568461324|152.4739671267019|0.0
354.0|0.0|1.0|1.0|206.1109830661213|164.44468099441852|0.0
356.0|0.0|1.0|1.0|193.4530046646146|154.6461532555499|0.0
358.0|0.0|1.0|1.0|201.46891252553743|160.7101010973568|0.0
360.0|0.0|1.0|1.0|174.09856350167044|139.10737619862235|0.0
362.0|0.0|1.0|1.0|184.6142112174902|147.54840665723302|0.0
364.0|0.0|1.0|1.0|198.2401138937313|158.245134052727|0.0
366.0|0.0|1.0|1.0|188.30079443689309|150.33259053182093|0.0
368.0|0.0|1.0|1.0|179.46876743551186|143.17799700824122|0.0
336.0|0.0|1.0|1.0|188.08151904065016|150.32083579540213|0.0
338.0|0.0|1.0|1.0|187.78823828261005|150.17638813657342|0.0
340.0|0.0|1.0|1.0|196.2990068685785|156.7333408701674|0.0
342.0|0.0|1.0|1.0|204.44826453920828|163.22076486977738|0.0
344.0|0.0|1.0|1.0|195.78378094870425|156.5352412237691|0.0
346.0|0.0|1.0|1.0|185.88521383405023|148.33951510941893|0.0
348.0|0.0|1.0|1.0|192.41466004537867|153.56165597131871|0.0
350.0|0.0|1.0|1.0|196.4603731747536|156.61659730638618|0.0
352.0|0.0|1.0|1.0|190.54899036255435|151.98836361542203|0.0
354.0|0.0|1.0|1.0|200.2807368112212|159.87529190910274|0.0
356.0|0.0|1.0|1.0|183.312991785324|146.1993442151269|0.0
358.0|0.0|1.0|1.0|193.0182297075911|153.9507206912997|0.0
360.0|0.0|1.0|1.0|183.45955870779525|146.37304953279744|0.0
362.0|0.0|1.0|1.0|190.191375177272|152.00184246991043|0.0
364.0|0.0|1.0|1.0|184.86799937093912|147.74702809842265|0.0
366.0|0.0|1.0|1.0|187.5276110711976|149.8140582229345|0.0
368.0|0.0|1.0|1.0|208.18741731749955|166.26316793191674|0.0
370.0|0.0|1.0|1.0|197.6157518066522|157.67737065843542|0.0
372.0|0.0|1.0|1.0|202.9161162937581|161.78322865880406|0.0
374.0|0.0|1.0|1.0|194.08286501656872|155.1729819327779|0.0
