times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.2, 0.2)|(0.0, 0.5, 0.5)|(0.0, 0.6, 0.6)|(0.0, 1.0, 1.0)
370.0|0.0|0.6|0.6|132.51405318591003|33.04059847283797|0.0|-131.95474827096012
334.0|0.0|0.6|0.6|127.80022657370057|31.55232320639111|0.0|-125.56636902858027
336.0|0.0|0.6|0.6|124.54562527382528|30.8493744330041|0.0|-122.78565703131528
338.0|0.0|0.6|0.6|129.385263534078|31.581945614988612|0.0|-125.18051444420121
340.0|0.0|0.6|0.6|129.96633016259992|32.36778714821541|0.0|-129.14162758222918
342.0|0.0|0.6|0.6|139.54883823454736|34.2154979714183|0.0|-135.68322874151687
344.0|0.0|0.6|0.6|122.75444728581078|30.216842626808003|0.0|-120.08425615390819
346.0|0.0|0.6|0.6|121.23820787124309|30.16877502558258|0.0|-120.37079748470869
348.0|0.0|0.6|0.6|128.06434930362585|31.423063322208673|0.0|-124.63836289982123
350.0|0.0|0.6|0.6|136.74010636350667|31.621775950841045|0.0|-123.84446309879014
352.0|0.0|0.6|0.6|136.36544419300276|32.68386645479503|0.0|-129.1100277571223
354.0|0.0|0.6|0.6|139.24979409259745|34.55975588546923|0.0|-137.69906893932736
356.0|0.0|0.6|0.6|132.8655841425868|32.341643371571344|0.0|-128.2048100449647
358.0|0.0|0.6|0.6|138.29285114969534|33.254760617840695|0.0|-131.47832091795058
360.0|0.0|0.6|0.6|142.23993661994612|34.63836621296401|0.0|-137.2847199687549
362.0|0.0|0.6|0.6|130.52614842905993|32.22040967072515|0.0|-128.11665374347646
364.0|0.0|0.6|0.6|130.76361065351733|31.104665490547774|0.0|-122.64640705653902
366.0|0.0|0.6|0.6|135.61879974952123|32.26267842625593|0.0|-127.17924348785405
368.0|0.0|0.6|0.6|142.470779311761|34.674265356981415|0.0|-137.54073883715606
370.0|0.0|0.6|0.6|127.9811593402833|31.103382111770987|0.0|-123.29400674278737
372.0|0.0|0.6|0.6|129.76077172137963|32.156613924836684|0.0|-128.10857521179906
